matricule,first_name,last_name,email,promotion_name,etablissement_name,ville_name,group_title,option_name
UM6SS2025-0001,Sara,El Amrani,sara.elamrani@example.com,MED 1,Faculté de Médecine UM6SS,Casablanca,Groupe A,Médecine Générale
UM6SS2025-0002,Adam,Bennani,adam.bennani@example.com,MED 1,Faculté de Médecine UM6SS,Casablanca,Groupe B,Médecine Générale
UM6SS2025-0003,Leïla,Karim,leila.karim@example.com,MED 2,Faculté de Médecine UM6SS,Casablanca,Groupe A,Chirurgie
UM6SS2025-0004,Youssef,Saïd,youssef.said@example.com,MED 2,Faculté de Médecine UM6SS,Rabat,Groupe C,Pédiatrie
UM6SS2025-0005,Imane,Charaf,imane.charaf@example.com,PHARM 1,Faculté de Pharmacie UM6SS,Casablanca,Groupe P1,Pharmacologie
UM6SS2025-0006,Anas,El Idrissi,anas.elidrissi@example.com,PHARM 2,Faculté de Pharmacie UM6SS,Marrakech,Groupe P2,Pharmacie Clinique
UM6SS2025-0007,Nadia,Skalli,nadia.skalli@example.com,DEN 1,Faculté de Médecine Dentaire UM6SS,Casablanca,Groupe D1,Odontologie
UM6SS2025-0008,Hakim,Ouazzani,hakim.ouazzani@example.com,DEN 2,Faculté de Médecine Dentaire UM6SS,Rabat,Groupe D2,Orthodontie
UM6SS2025-0009,Salma,Hanane,salma.hanane@example.com,ING 1,École d’Ingénierie UM6SS,Casablanca,Groupe I1,Génie Biomédical
UM6SS2025-0010,Omar,Chafik,omar.chafik@example.com,ING 2,École d’Ingénierie UM6SS,Tanger,Groupe I2,Data Science
